participant_id,sequence_id,fold
26734,1000035562,0
28656,1000106739,2
16069,100015657,2
25571,1000210073,1
62590,1000240708,3
26734,1000241583,0
26734,1000255522,0
32319,1000278229,0
37055,100035691,0
29302,100039661,4
49445,1000397667,0
36257,1000536928,2
22343,1000638205,4
26734,1000661926,0
27610,1000697904,2
28656,1000862366,2
61333,1000909322,4
27610,1000956928,2
26734,1001145816,0
28656,1001158776,2
22343,1001223069,4
32319,1001258102,0
26734,1001284511,0
53618,1001363076,0
34503,100137027,1
18796,1001373962,3
53618,1001379621,0
4718,1001385785,1
55372,1001471195,3
53618,1001490690,0
49445,1001499433,0
36257,1001560021,2
26734,1001589428,0
53618,1001611718,0
18796,1001682966,3
34503,1001685690,1
29302,1001705639,4
61333,1001819372,4
28656,1001832755,2
53618,1001896056,0
36257,1001899025,2
53618,100190623,0
36257,1001911914,2
28656,1001913464,2
28656,1001919956,2
26734,1001931356,0
2044,1001950812,4
32319,1001958254,0
26734,1002003043,0
49445,1002020383,0
61333,1002052130,4
62590,1002055891,3
2044,1002091184,4
2044,1002092995,4
16069,1002113535,2
55372,1002129762,3
62590,1002160015,3
62590,1002203166,3
26734,100225301,0
29302,1002284514,4
28656,1002298936,2
55372,100230619,3
28656,1002340281,2
26734,1002456370,0
37779,1002526690,1
28656,1002619089,2
18796,1002643353,3
26734,1002667538,0
62590,1002711645,3
55372,1002734054,3
22343,1002776784,4
37779,1002801453,1
62590,1002825266,3
62590,1002885072,3
53618,100293231,0
18796,1002976391,3
37055,1003007869,0
28656,1003023196,2
61333,1003093029,4
37055,1003109377,0
18796,1003114245,3
28656,1003256778,2
26734,100328364,0
36257,1003335907,2
22343,1003347075,4
28656,1003351443,2
53618,1003370644,0
2044,1003433922,4
55372,1003483016,3
34503,1003483410,1
62590,1003498206,3
28656,1003656851,2
49445,1003700302,0
37055,1003705747,0
25571,100387913,1
37055,100393298,0
30680,1004012212,3
22343,1004053083,4
49445,1004160575,0
18796,1004199462,3
32319,1004200659,0
16069,10042041,2
16069,1004211348,2
26734,1004212902,0
28656,1004220316,2
2044,1004220951,4
37779,1004278047,1
29302,1004285193,4
22343,1004302418,4
53618,1004317038,0
16069,100438640,2
27610,1004456612,2
26734,1004515043,0
30680,1004525587,3
27610,1004578262,2
27610,1004604376,2
26734,100465528,0
49445,1004659234,0
37779,1004670955,1
30680,1004717211,3
29302,100475774,4
2044,1004782423,4
55372,1004789884,3
2044,1004871290,4
2044,1004940627,4
28656,100496782,2
27610,100498908,2
16069,1005009451,2
26734,1005029875,0
49445,1005031823,0
55372,1005052722,3
34503,1005088445,1
30680,1005102931,3
32319,100515039,0
25571,1005153432,1
36257,1005189210,2
16069,1005223850,2
4718,1005394128,1
36257,1005422610,2
2044,1005467898,4
61333,1005476876,4
16069,1005492440,2
26734,1005584284,0
2044,1005687002,4
37055,1005734995,0
61333,1005826772,4
22343,100585188,4
32319,1005865446,0
36257,1005866711,2
62590,1005973605,3
25571,1005995721,1
16069,1006058791,2
18796,1006073467,3
18796,1006108133,3
18796,1006174925,3
37055,1006223282,0
26734,1006264561,0
30680,1006302094,3
55372,1006402771,3
49445,1006440534,0
16069,1006443357,2
49445,1006462059,0
53618,100646867,0
18796,1006488300,3
28656,1006548504,2
34503,1006554061,1
37779,1006573792,1
22343,1006584947,4
49445,1006585242,0
37055,1006625592,0
4718,1006690809,1
28656,1006698125,2
53618,1006736862,0
62590,1006742163,3
22343,1006778422,4
34503,1006899334,1
27610,1006973536,2
36257,1007054441,2
16069,1007073382,2
16069,1007127288,2
4718,1007273104,1
62590,100728423,3
61333,1007285542,4
55372,1007289801,3
61333,1007294943,4
32319,1007313467,0
16069,1007343357,2
32319,1007376023,0
29302,1007439131,4
61333,1007466376,4
36257,1007470312,2
16069,1007589714,2
32319,1007595679,0
37779,1007636570,1
27610,1007714989,2
29302,1007771619,4
18796,1007844942,3
61333,1007883975,4
62590,1007921043,3
29302,1007921584,4
30680,1007956977,3
37779,1007961507,1
37055,1008067715,0
28656,1008105275,2
29302,10081088,4
16069,1008185618,2
55372,1008254374,3
30680,100828468,3
49445,1008318688,0
18796,1008404042,3
55372,1008408081,3
4718,1008483043,1
34503,1008533792,1
2044,100856271,4
2044,1008623492,4
32319,1008630948,0
4718,1008708679,1
25571,1008787040,1
26734,1008843441,0
55372,100885486,3
61333,1008866094,4
28656,1008868907,2
30680,1008873903,3
55372,1008888999,3
4718,1008893190,1
2044,1009015092,4
61333,1009072101,4
37055,1009073883,0
28656,1009091529,2
28656,1009110105,2
