Device : Tesla V100-SXM2-32GB-LS 

- Model mlp_bert_4
- Epochs 100
- Learning rate 3.0e-04   (n_gpus=8)

 -> Training


-------------   Fold 1 / 4  -------------

    -> Data Preparation
    -> 72119 training images
    -> 22358 validation images
    -> 13688418 trainable parameters
    -> 6943394 distilled parameters

Epoch 01/100 (step 2000) 	lr=1.1e-05 	 t=76s  	 loss=5.488	 val_loss=5.351    acc=0.030
Epoch 02/100 (step 4000) 	lr=2.1e-05 	 t=70s  	 loss=5.123	 val_loss=4.877    acc=0.137
Epoch 03/100 (step 6000) 	lr=3.2e-05 	 t=70s  	 loss=4.730	 val_loss=4.607    acc=0.220
Epoch 04/100 (step 8000) 	lr=4.3e-05 	 t=69s  	 loss=4.435	 val_loss=4.469    acc=0.254
Epoch 05/100 (step 10000) 	lr=5.3e-05 	 t=70s  	 loss=4.231	 val_loss=4.283    acc=0.328
Epoch 06/100 (step 12000) 	lr=6.4e-05 	 t=70s  	 loss=4.025	 val_loss=4.130    acc=0.393
Epoch 07/100 (step 14000) 	lr=7.5e-05 	 t=70s  	 loss=3.871	 val_loss=3.952    acc=0.463
Epoch 08/100 (step 16000) 	lr=8.5e-05 	 t=69s  	 loss=3.735	 val_loss=3.831    acc=0.516
Epoch 09/100 (step 18000) 	lr=9.6e-05 	 t=68s  	 loss=3.615	 val_loss=3.816    acc=0.519
Epoch 09/100 (step 20000) 	lr=1.1e-04 	 t=68s  	 loss=3.575	 val_loss=3.792    acc=0.512
Epoch 10/100 (step 22000) 	lr=1.2e-04 	 t=69s  	 loss=3.501	 val_loss=3.703    acc=0.544
Epoch 11/100 (step 24000) 	lr=1.3e-04 	 t=69s  	 loss=3.462	 val_loss=3.646    acc=0.564
Epoch 12/100 (step 26000) 	lr=1.4e-04 	 t=69s  	 loss=3.442	 val_loss=3.640    acc=0.573
Epoch 13/100 (step 28000) 	lr=1.5e-04 	 t=69s  	 loss=3.387	 val_loss=3.571    acc=0.591
Epoch 14/100 (step 30000) 	lr=1.6e-04 	 t=69s  	 loss=3.399	 val_loss=3.557    acc=0.597
Epoch 15/100 (step 32000) 	lr=1.7e-04 	 t=69s  	 loss=3.382	 val_loss=3.593    acc=0.577
Epoch 16/100 (step 34000) 	lr=1.8e-04 	 t=69s  	 loss=3.371	 val_loss=3.544    acc=0.596
Epoch 17/100 (step 36000) 	lr=1.9e-04 	 t=69s  	 loss=3.383	 val_loss=3.522    acc=0.604
Epoch 17/100 (step 38000) 	lr=2.0e-04 	 t=68s  	 loss=3.417	 val_loss=3.509    acc=0.614
Epoch 18/100 (step 40000) 	lr=2.1e-04 	 t=69s  	 loss=3.404	 val_loss=3.524    acc=0.595
Epoch 19/100 (step 42000) 	lr=2.2e-04 	 t=69s  	 loss=3.432	 val_loss=3.520    acc=0.603
Epoch 20/100 (step 44000) 	lr=2.3e-04 	 t=69s  	 loss=3.457	 val_loss=3.488    acc=0.615
Epoch 21/100 (step 46000) 	lr=2.5e-04 	 t=69s  	 loss=3.460	 val_loss=3.499    acc=0.612
Epoch 22/100 (step 48000) 	lr=2.6e-04 	 t=69s  	 loss=3.473	 val_loss=3.466    acc=0.610
Epoch 23/100 (step 50000) 	lr=2.7e-04 	 t=69s  	 loss=3.456	 val_loss=3.501    acc=0.610
Epoch 24/100 (step 52000) 	lr=2.8e-04 	 t=69s  	 loss=3.479	 val_loss=3.478    acc=0.620
Epoch 25/100 (step 54000) 	lr=2.9e-04 	 t=69s  	 loss=3.466	 val_loss=3.493    acc=0.612
Epoch 25/100 (step 56000) 	lr=3.0e-04 	 t=68s  	 loss=3.477	 val_loss=3.456    acc=0.627
Epoch 26/100 (step 58000) 	lr=3.0e-04 	 t=69s  	 loss=3.464	 val_loss=3.436    acc=0.632
Epoch 27/100 (step 60000) 	lr=2.9e-04 	 t=69s  	 loss=3.439	 val_loss=3.437    acc=0.632
Epoch 28/100 (step 62000) 	lr=2.9e-04 	 t=70s  	 loss=3.444	 val_loss=3.419    acc=0.626
Epoch 29/100 (step 64000) 	lr=2.9e-04 	 t=68s  	 loss=3.354	 val_loss=3.394    acc=0.640
Epoch 30/100 (step 66000) 	lr=2.8e-04 	 t=69s  	 loss=3.365	 val_loss=3.385    acc=0.645
Epoch 31/100 (step 68000) 	lr=2.8e-04 	 t=69s  	 loss=3.338	 val_loss=3.393    acc=0.642
Epoch 32/100 (step 70000) 	lr=2.8e-04 	 t=69s  	 loss=3.326	 val_loss=3.406    acc=0.640
Epoch 33/100 (step 72000) 	lr=2.7e-04 	 t=69s  	 loss=3.297	 val_loss=3.390    acc=0.644
Epoch 33/100 (step 74000) 	lr=2.7e-04 	 t=67s  	 loss=3.326	 val_loss=3.348    acc=0.655
Epoch 34/100 (step 76000) 	lr=2.6e-04 	 t=69s  	 loss=3.306	 val_loss=3.369    acc=0.646
Epoch 35/100 (step 78000) 	lr=2.6e-04 	 t=69s  	 loss=3.261	 val_loss=3.355    acc=0.647
Epoch 36/100 (step 80000) 	lr=2.6e-04 	 t=69s  	 loss=3.269	 val_loss=3.345    acc=0.656
Epoch 37/100 (step 82000) 	lr=2.5e-04 	 t=69s  	 loss=3.261	 val_loss=3.358    acc=0.645
Epoch 38/100 (step 84000) 	lr=2.5e-04 	 t=70s  	 loss=3.245	 val_loss=3.339    acc=0.655
